pk,2007-12-02 11:37:21,127.0.0.1,login
pk,2007-12-02 11:38:37,127.0.0.1,login
pk,2007-12-02 11:39:17,127.0.0.1,login
Tsoft,2007-12-02 11:39:34,127.0.0.1,login
pk,2007-12-02 11:40:05,127.0.0.1,login
Tsoft,2007-12-02 11:54:31,127.0.0.1,login
pk,2007-12-02 12:17:51,127.0.0.1,login
Tsoft,2007-12-02 12:18:00,127.0.0.1,login
Tsoft,2007-12-02 12:20:49,127.0.0.1,login
Tsoft,2007-12-02 12:24:04,127.0.0.1,login
pk,2007-12-02 12:24:41,127.0.0.1,login
PK,2007-12-02 13:22:02,127.0.0.1,login
pk,2007-12-02 14:33:13,127.0.0.1,login
Tsoft,2007-12-02 14:53:08,127.0.0.1,login
Tsoft,2007-12-02 16:06:58,127.0.0.1,login
pk,2007-12-02 16:49:37,127.0.0.1,login
Tsoft,2007-12-02 16:55:27,127.0.0.1,login
pk,2007-12-04 08:18:27,127.0.0.1,login
Tsoft,2007-12-04 08:19:00,127.0.0.1,login
pk,2007-12-04 08:32:13,127.0.0.1,login
Tsoft,2007-12-04 13:11:48,127.0.0.1,login
pk,2007-12-04 13:31:04,127.0.0.1,login
pk,2007-12-04 14:50:22,127.0.0.1,login
Tsoft,2007-12-04 15:24:51,127.0.0.1,login
Tsoft,2007-12-04 17:03:12,127.0.0.1,login
pk,2007-12-04 17:03:48,127.0.0.1,login
Tsoft,2007-12-04 19:00:40,127.0.0.1,login
pk,2007-12-04 19:01:46,127.0.0.1,login
pk,2007-12-04 19:53:38,127.0.0.1,login
Tsoft,2007-12-04 19:53:49,127.0.0.1,login
pk,2007-12-05 08:35:41,127.0.0.1,login
Tsoft,2007-12-05 09:05:04,127.0.0.1,login
Tsoft,2007-12-05 09:21:09,127.0.0.1,login
Tsoft,2007-12-05 09:22:03,127.0.0.1,login
pk,2007-12-05 09:22:59,192.168.1.227,login
pk,2007-12-05 10:01:03,127.0.0.1,login
Tsoft,2007-12-05 10:01:57,127.0.0.1,login
aaa,2007-12-05 10:03:39,127.0.0.1,login
ccc,2007-12-05 10:03:46,127.0.0.1,login
bbb,2007-12-05 10:03:52,127.0.0.1,login
aaa,2007-12-05 10:32:32,127.0.0.1,login
ccc,2007-12-05 10:40:41,127.0.0.1,login
1004,2007-12-05 11:02:51,127.0.0.1,login
tsoft,2007-12-05 11:05:38,127.0.0.1,login
1004,2007-12-05 11:09:29,127.0.0.1,login
tsoft,2007-12-05 11:14:19,127.0.0.1,login
1004,2007-12-05 11:15:05,127.0.0.1,login
tsoft,2007-12-05 11:23:32,127.0.0.1,login
tsoft,2007-12-07 10:02:29,127.0.0.1,login
1004,2007-12-07 10:03:01,127.0.0.1,login
